frameCount,LBrowH,RBrowH,LEyeH,REyeH,nose,MouseH,MouseW,OriX,OriY,OriZ
139,9.49,9.35,2.98,3.01,7.38,1.14,17.1,0.1,-0.087,0.18
140,9.6,9.47,2.94,2.97,7.34,1.18,17.23,0.1,-0.087,0.17
141,9.6,9.47,2.94,2.97,7.34,1.18,17.23,0.1,-0.087,0.17
142,9.64,9.51,2.9,2.91,7.25,1.22,17.29,0.1,-0.084,0.17
143,9.66,9.51,2.9,2.91,7.18,1.2,17.2,0.1,-0.083,0.17
144,9.57,9.42,3.02,3.03,7.33,1.18,17.2,0.09,-0.088,0.16
145,9.72,9.58,2.92,2.94,7.18,1.24,17.19,0.1,-0.083,0.16
146,9.72,9.58,2.95,2.97,7.08,1.29,17.24,0.1,-0.084,0.16
147,9.69,9.54,2.94,2.95,7.03,1.3,17.28,0.1,-0.083,0.16
148,9.52,9.36,2.93,2.94,7.15,1.25,17.27,0.1,-0.085,0.16
149,9.71,9.55,2.85,2.86,7.05,1.29,17.24,0.1,-0.083,0.16
150,9.71,9.55,2.85,2.86,7.05,1.29,17.24,0.1,-0.083,0.16
151,9.88,9.73,2.9,2.91,7.13,1.27,17.31,0.1,-0.081,0.16
152,9.98,9.84,2.83,2.85,7.11,1.23,17.4,0.1,-0.082,0.15
153,9.65,9.5,2.91,2.93,7.02,1.28,17.26,0.1,-0.083,0.16
154,9.71,9.57,2.84,2.87,7.16,1.31,17.26,0.11,-0.08,0.16
155,9.71,9.57,2.84,2.87,7.16,1.31,17.26,0.11,-0.08,0.16
156,9.63,9.49,2.91,2.93,7.05,1.36,17.21,0.11,-0.08,0.15
157,9.59,9.45,2.92,2.94,7.07,1.34,17.21,0.1,-0.081,0.15
158,9.62,9.48,2.93,2.95,7.05,1.33,17.08,0.11,-0.08,0.15
159,9.63,9.47,2.91,2.92,7.12,1.28,17.13,0.1,-0.083,0.15
160,9.63,9.47,2.91,2.92,7.12,1.28,17.13,0.1,-0.083,0.15
161,9.61,9.46,2.94,2.95,7.08,1.31,17.1,0.1,-0.079,0.15
162,9.66,9.52,2.93,2.94,7.03,1.32,17.13,0.1,-0.08,0.15
163,9.64,9.49,2.95,2.96,7.16,1.32,17.12,0.1,-0.079,0.15
164,9.64,9.49,2.95,2.96,7.16,1.32,17.12,0.1,-0.079,0.15
165,9.64,9.49,2.95,2.96,7.16,1.32,17.12,0.1,-0.079,0.15
166,9.64,9.49,2.94,2.95,7.12,1.29,17.05,0.1,-0.081,0.15
167,9.7,9.56,2.92,2.93,7.02,1.29,17.09,0.1,-0.08,0.15
168,9.73,9.58,2.95,2.97,7.03,1.28,17.01,0.1,-0.08,0.15
169,9.73,9.58,2.95,2.97,7.03,1.28,17.01,0.1,-0.08,0.15
170,9.76,9.61,2.93,2.94,7.1,1.3,16.97,0.1,-0.08,0.15
171,9.73,9.6,2.97,2.99,7.03,1.3,16.91,0.1,-0.08,0.15
172,9.76,9.6,2.96,2.97,7.03,1.3,16.81,0.11,-0.079,0.15
173,9.67,9.53,2.95,2.96,7.12,1.24,16.77,0.1,-0.082,0.15
174,9.67,9.53,2.95,2.96,7.12,1.24,16.77,0.1,-0.082,0.15
175,9.72,9.58,2.95,2.97,7.21,1.21,16.84,0.1,-0.079,0.15
176,9.72,9.57,2.94,2.96,7.0,1.24,16.88,0.1,-0.078,0.15
177,9.71,9.57,2.94,2.95,7.19,1.27,16.97,0.1,-0.077,0.14
178,9.71,9.57,2.94,2.95,7.19,1.27,16.97,0.1,-0.077,0.14
179,9.71,9.57,2.94,2.95,7.04,1.29,17.04,0.11,-0.081,0.14
180,9.73,9.61,2.97,2.99,7.09,1.3,17.02,0.11,-0.082,0.14
